               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,     metrics/mAP_0.5
37,0.037792,0.010679,0.020506,0.75264,0.78389,0.83246,0.59351,0.0254,0.0062119,0.011576,0.00784,0.00784,0.00784,,0.489216,0.6826172
38,0.037211,0.010732,0.019662,0.78609,0.75735,0.83657,0.60583,0.025141,0.0060895,0.011136,0.00778,0.00778,0.00778,,0.5109585,0.6859874
39,0.03726,0.010449,0.019436,0.74321,0.8169,0.84082,0.6105,0.024978,0.0060681,0.010704,0.00772,0.00772,0.00772,,0.4830865,0.6894724
40,0.036278,0.010444,0.018653,0.81411,0.80767,0.86932,0.64032,0.024485,0.0060254,0.010666,0.00766,0.00766,0.00766,,0.5291715,0.7128424
41,0.036402,0.010534,0.018807,0.81705,0.78156,0.87029,0.63388,0.024543,0.0060113,0.010397,0.0076,0.0076,0.0076,,0.5310825,0.7136378
42,0.036503,0.010501,0.018531,0.83517,0.82945,0.87601,0.64047,0.024448,0.0061593,0.010002,0.00754,0.00754,0.00754,,0.5428605,0.7183282
43,0.036551,0.010319,0.017607,0.84516,0.83806,0.89762,0.64321,0.024773,0.0060296,0.0094462,0.00748,0.00748,0.00748,,0.549354,0.7360484
44,0.035929,0.01054,0.017761,0.84212,0.85246,0.90439,0.6735,0.024234,0.0059467,0.0088849,0.00742,0.00742,0.00742,,0.547378,0.7415998
45,0.035465,0.010403,0.01727,0.88239,0.81799,0.91045,0.68191,0.02364,0.0058469,0.0091259,0.00736,0.00736,0.00736,,0.5735535,0.746569
46,0.03582,0.010295,0.016684,0.87231,0.8429,0.91461,0.67156,0.023993,0.0058439,0.0086829,0.0073,0.0073,0.0073,,0.5670015,0.7499802
47,0.03539,0.0099027,0.016683,0.88999,0.85532,0.92898,0.69381,0.024203,0.0058388,0.0083321,0.00724,0.00724,0.00724,,0.5784935,0.7617636
48,0.035197,0.010302,0.016296,0.89888,0.86349,0.93434,0.70524,0.02319,0.0056641,0.007754,0.00718,0.00718,0.00718,,0.584272,0.7661588
49,0.034998,0.010206,0.015832,0.9102,0.86922,0.94064,0.70108,0.023865,0.0056669,0.0078097,0.00712,0.00712,0.00712,,0.59163,0.7713248
50,0.035288,0.010143,0.016017,0.91668,0.86799,0.94294,0.71129,0.023266,0.005738,0.007636,0.00706,0.00706,0.00706,,0.595842,0.7732108
51,0.034664,0.010196,0.015491,0.89382,0.88516,0.94888,0.71584,0.023116,0.005615,0.0073601,0.007,0.007,0.007,,0.580983,0.7780816
52,0.034717,0.0099257,0.015306,0.92027,0.89281,0.95344,0.71822,0.023175,0.0055884,0.0066961,0.00694,0.00694,0.00694,,0.5981755,0.7818208
53,0.034642,0.010074,0.015064,0.90238,0.91852,0.95601,0.71919,0.023046,0.0056344,0.0066168,0.00688,0.00688,0.00688,,0.586547,0.7839282
54,0.034599,0.010036,0.014799,0.93072,0.88955,0.95481,0.73003,0.022744,0.0056253,0.0066869,0.00682,0.00682,0.00682,,0.604968,0.7829442
55,0.033981,0.0097227,0.014539,0.92625,0.90778,0.961,0.72788,0.023122,0.0054508,0.0062853,0.00676,0.00676,0.00676,,0.6020625,0.78802
56,0.034021,0.0097704,0.014414,0.95043,0.89036,0.95556,0.72515,0.022595,0.0055309,0.0062971,0.0067,0.0067,0.0067,,0.6177795,0.7835592
57,0.034204,0.0097829,0.014095,0.93848,0.89987,0.96094,0.73315,0.022457,0.0054235,0.0062587,0.00664,0.00664,0.00664,,0.610012,0.7879708
58,0.033763,0.0099351,0.01405,0.94013,0.89842,0.96337,0.73718,0.022481,0.0053258,0.0059579,0.00658,0.00658,0.00658,,0.6110845,0.7899634
59,0.033215,0.0096619,0.013774,0.94524,0.9175,0.96793,0.74272,0.02233,0.0053056,0.0056389,0.00652,0.00652,0.00652,,0.614406,0.7937026
60,0.033365,0.0096354,0.013641,0.95861,0.88841,0.964,0.73781,0.022166,0.0053639,0.0058345,0.00646,0.00646,0.00646,,0.6230965,0.79048
61,0.033343,0.0095902,0.013489,0.92106,0.90387,0.96001,0.73391,0.022263,0.00555,0.0056831,0.0064,0.0064,0.0064,,0.598689,0.7872082
62,0.032559,0.0094781,0.013185,0.93688,0.90447,0.96359,0.73518,0.022389,0.0052851,0.0054749,0.00634,0.00634,0.00634,,0.608972,0.7901438
63,0.032589,0.0094829,0.013047,0.9358,0.91146,0.96362,0.74436,0.021906,0.0052708,0.005306,0.00628,0.00628,0.00628,,0.60827,0.7901684
64,0.033086,0.0092972,0.012875,0.92419,0.91315,0.96407,0.73993,0.022016,0.0053523,0.0053958,0.00622,0.00622,0.00622,,0.6007235,0.7905374
