               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049006,            0.010917,            0.014611,             0.41642,             0.56114,             0.38683,             0.13424,             0.05601,            0.010412,            0.014673,             0.00676,             0.00676,             0.00676
                  38,            0.049545,            0.011419,            0.014269,             0.43612,             0.57793,             0.39225,             0.14029,            0.055256,            0.010499,            0.014669,             0.00667,             0.00667,             0.00667
                  39,            0.051579,            0.011626,            0.014178,             0.42679,             0.55766,             0.37476,             0.13228,            0.055372,             0.01055,            0.014651,             0.00658,             0.00658,             0.00658
                  40,            0.050325,            0.011468,            0.013883,             0.39929,             0.56639,             0.34607,             0.12353,            0.055989,            0.010624,            0.014587,             0.00649,             0.00649,             0.00649
                  41,            0.052134,            0.011313,            0.014412,             0.42123,             0.54579,             0.38887,             0.14012,             0.05465,            0.010503,            0.014513,              0.0064,              0.0064,              0.0064
                  42,            0.050586,            0.011112,            0.013948,             0.40856,             0.52497,             0.40815,             0.14325,            0.055691,            0.010726,            0.014481,             0.00631,             0.00631,             0.00631
                  43,            0.049972,            0.011659,            0.014146,             0.41826,              0.5551,              0.4092,             0.14271,             0.05653,            0.011039,            0.014511,             0.00622,             0.00622,             0.00622
                  44,            0.050256,            0.011548,            0.013584,             0.44208,              0.5666,             0.38769,             0.13614,            0.057031,            0.010802,            0.014468,             0.00613,             0.00613,             0.00613
                  45,            0.050259,             0.01136,            0.014207,             0.41514,             0.58458,             0.39681,              0.1433,            0.055177,            0.010632,            0.014403,             0.00604,             0.00604,             0.00604
                  46,            0.048445,            0.011065,            0.013767,             0.43654,             0.61351,             0.44999,             0.15551,             0.05534,            0.010526,            0.014327,             0.00595,             0.00595,             0.00595
                  47,            0.050091,            0.011011,            0.013793,             0.43715,             0.56764,             0.41737,             0.14856,            0.057413,            0.010601,            0.014241,             0.00586,             0.00586,             0.00586
                  48,            0.048731,            0.011753,            0.014127,             0.43513,             0.54541,             0.39336,             0.14092,            0.056513,            0.011054,            0.014113,             0.00577,             0.00577,             0.00577
                  49,            0.049906,            0.011083,            0.013533,             0.43071,             0.55527,             0.41948,             0.15011,            0.057222,            0.010651,            0.014131,             0.00568,             0.00568,             0.00568
                  50,            0.048991,             0.01136,            0.013283,             0.44822,             0.53595,             0.39713,             0.14275,            0.055346,            0.010761,            0.013874,             0.00559,             0.00559,             0.00559
                  51,            0.051103,            0.011655,            0.013542,              0.4878,             0.58268,             0.43417,              0.1475,            0.057965,            0.010612,             0.01379,              0.0055,              0.0055,              0.0055
                  52,            0.049724,            0.011277,            0.013741,             0.46443,             0.56443,             0.43916,             0.15201,            0.057355,            0.010503,            0.013502,             0.00541,             0.00541,             0.00541
                  53,            0.048404,            0.010977,            0.013325,             0.45986,             0.57592,             0.47207,             0.15822,            0.055121,            0.010489,            0.013322,             0.00532,             0.00532,             0.00532
                  54,            0.048158,            0.011826,            0.013418,             0.42793,              0.5739,             0.43066,             0.15105,            0.054236,            0.010768,            0.013271,             0.00523,             0.00523,             0.00523
                  55,            0.049478,            0.012486,            0.013239,             0.43221,             0.56824,              0.4451,             0.15567,            0.055012,            0.010818,            0.013091,             0.00514,             0.00514,             0.00514
                  56,            0.047929,            0.011073,            0.013057,             0.43175,             0.58113,             0.46413,             0.16868,            0.054116,            0.010484,            0.012794,             0.00505,             0.00505,             0.00505
                  57,            0.047341,            0.011679,            0.012971,             0.44356,             0.60349,             0.45427,             0.16534,            0.054349,            0.010826,            0.012493,             0.00496,             0.00496,             0.00496
                  58,            0.045941,            0.010646,            0.012828,             0.43793,              0.5823,              0.4394,             0.15755,            0.056074,            0.011167,            0.012589,             0.00487,             0.00487,             0.00487
                  59,            0.047993,            0.010842,            0.012883,             0.43821,              0.5938,             0.41792,             0.14608,            0.056786,            0.011271,            0.012787,             0.00478,             0.00478,             0.00478
                  60,            0.047819,            0.012096,             0.01273,             0.44365,              0.6181,             0.46044,             0.15297,            0.056953,            0.010888,             0.01299,             0.00469,             0.00469,             0.00469
                  61,            0.049165,            0.011223,            0.013043,              0.4664,             0.55217,             0.45766,              0.1622,            0.056015,            0.010592,            0.012392,              0.0046,              0.0046,              0.0046
                  62,            0.047322,             0.01073,            0.012208,             0.47263,             0.56769,             0.45762,             0.15666,            0.056164,            0.010591,            0.011834,             0.00451,             0.00451,             0.00451
                  63,            0.049118,            0.010587,            0.012344,             0.44926,             0.54486,             0.44301,             0.15835,            0.055429,            0.010849,            0.011722,             0.00442,             0.00442,             0.00442
                  64,            0.049473,            0.010724,            0.011945,              0.4697,             0.55662,             0.44371,             0.15866,            0.054223,             0.01066,            0.011819,             0.00433,             0.00433,             0.00433
                  65,            0.047381,            0.010447,            0.011556,             0.48097,             0.55254,             0.43448,             0.14597,            0.055094,            0.010652,            0.011374,             0.00424,             0.00424,             0.00424
                  66,            0.049152,            0.011153,            0.011794,             0.44259,             0.58835,             0.45303,             0.16194,            0.055102,            0.010621,            0.011295,             0.00415,             0.00415,             0.00415
