               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024438,            0.023228,           0.0025294,             0.69287,             0.56244,             0.60519,             0.44234,            0.028999,            0.067457,           0.0050515,            0.008425,            0.008425,            0.008425
                  37,            0.024341,            0.023329,           0.0025786,             0.70438,             0.57497,             0.63052,             0.46314,            0.028957,            0.067799,           0.0047929,             0.00838,             0.00838,             0.00838
                  38,            0.024365,            0.022955,           0.0025712,             0.64933,             0.59497,             0.63309,             0.46377,            0.029257,            0.067854,           0.0046345,            0.008335,            0.008335,            0.008335
                  39,            0.024311,            0.023189,           0.0025515,             0.62644,             0.66594,             0.65898,             0.48454,            0.028619,            0.066946,           0.0045879,             0.00829,             0.00829,             0.00829
                  40,            0.023984,            0.023288,           0.0025268,             0.69526,             0.59615,             0.62256,             0.46037,            0.028844,            0.066276,           0.0050238,            0.008245,            0.008245,            0.008245
                  41,            0.024314,            0.023601,           0.0025437,             0.64458,             0.59849,             0.62837,             0.46492,            0.028632,            0.066489,           0.0047401,              0.0082,              0.0082,              0.0082
                  42,            0.024092,            0.023253,           0.0024701,             0.66167,             0.59153,             0.61214,              0.4437,            0.029552,            0.067682,           0.0049885,            0.008155,            0.008155,            0.008155
                  43,            0.023928,            0.022827,           0.0024227,             0.67888,              0.5775,             0.61957,             0.45957,            0.028376,            0.067438,            0.004927,             0.00811,             0.00811,             0.00811
                  44,            0.023997,             0.02311,           0.0024793,             0.71595,             0.56361,             0.62422,             0.45857,            0.028923,             0.06748,           0.0048076,            0.008065,            0.008065,            0.008065
                  45,            0.024003,            0.022997,           0.0024712,             0.67966,             0.58239,             0.62253,             0.45551,            0.029137,             0.06827,           0.0050022,             0.00802,             0.00802,             0.00802
                  46,            0.023805,            0.022602,           0.0024267,             0.69688,             0.55932,             0.60386,             0.44604,            0.028957,            0.068113,           0.0052169,            0.007975,            0.007975,            0.007975
                  47,            0.023826,            0.022937,           0.0024312,             0.69393,             0.56554,             0.60048,             0.44271,            0.029125,             0.06987,           0.0049727,             0.00793,             0.00793,             0.00793
                  48,            0.023765,            0.022956,           0.0024337,             0.66213,             0.60229,             0.60636,             0.44219,            0.029377,            0.069221,           0.0050493,            0.007885,            0.007885,            0.007885
                  49,            0.023886,            0.022566,            0.002373,             0.64528,             0.56588,              0.5867,             0.42875,            0.029295,            0.069153,           0.0054498,             0.00784,             0.00784,             0.00784
